name,ring,quadrant,description
Android SDK,Adopt,frameworks & libraries,
Ant Design,Assess,frameworks & libraries,TRUE,
AppDynamics,Trial,platform & infrastructure,
Consul,Adopt,platform & infrastructure,
Docker,Trial,platform & infrastructure,
echo,Adopt,frameworks & libraries,
Elasticsearch,Adopt,data management,
FastAPI,Adopt,frameworks & libraries,
Firebase,Adopt,platform & infrastructure,
flux2,Adopt,platform & infrastructure,
Golang,Adopt,languages,
Google MS,Adopt,platform & infrastructure,
google wire,Adopt,frameworks & libraries,
Grafana,Adopt,platform & infrastructure,
gRPC,Adopt,data management,
HAProxy,Adopt,platform & infrastructure,
Hashicorp Consul,Adopt,platform & infrastructure,
Hashicorp Vault,Adopt,platform & infrastructure,
Helm,Adopt,platform & infrastructure,
Huawey MS,Adopt,platform & infrastructure,
Jaeger,Adopt,platform & infrastructure,
Javascript,Adopt,languages,
k8s,Adopt,platform & infrastructure,
Kafka,Trial,platform & infrastructure,
KeepAliveD,Adopt,platform & infrastructure,
Kibana,Adopt,platform & infrastructure,
Kotlin,Adopt,languages,
Kotlin,Adopt,languages,TRUE,
Krakend,Adopt,frameworks & libraries,
Logstash,Adopt,platform & infrastructure,
Loki,Adopt,platform & infrastructure,
Memcached,Adopt,data management,
MySQL,Hold,data management,
NATS,Trial,platform & infrastructure,
Nginx,Adopt,platform & infrastructure,
Nuxt.js,Trial,frameworks & libraries,
oapi-codegen,Adopt,frameworks & libraries,
OpenAPI,Adopt,frameworks & libraries,
PHP,Adopt,languages,
PostgreSQL,Adopt,data management,
Prometheus,Adopt,platform & infrastructure,
Pydantic,Adopt,frameworks & libraries,
Python,Adopt,languages,
RabbitMQ,Adopt,data management,
Redis,Adopt,data management,
Room,Assess,data management,
Sentry,Trial,platform & infrastructure,TRUE,
sqlalchemy,Adopt,frameworks & libraries,
Swift,Adopt,languages,TRUE,
Symfony,Adopt,frameworks & libraries,
Tarantool Data Grid,Trial,data management,TRUE,
Terragrunt,Adopt,platform & infrastructure,
Typescript,Trial,languages,TRUE,
victoria metrics,Adopt,platform & infrastructure,
Vue.js,Adopt,frameworks & libraries,
YandexCloud,Adopt,platform & infrastructure,
